tx_id,timestamp,src_type,src_id,dst_type,dst_id,amount,currency,channel,src_country,dst_country,is_cross_border,rule_hits,anomaly_score,label
1,2025-09-06T06:54:11Z,company,33,customer,63,764.71,GBP,PSU-PSD2,CH,FR,True,,22,normal
2,2025-09-08T11:17:11Z,customer,55,company,69,508.91,USD,CRYPTO,FR,IR,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,49,normal
3,2025-08-06T04:35:11Z,customer,145,customer,78,1554.43,CHF,PSU-PSD2,FR,FR,False,,25,normal
4,2025-07-30T08:56:11Z,customer,77,customer,64,1686.43,GBP,CASH,FR,FR,False,,19,normal
5,2025-09-03T18:44:11Z,company,19,customer,192,405.59,EUR,PSU-PSD2,ES,FR,True,,16,normal
6,2025-07-19T19:01:11Z,customer,99,company,50,935.55,CHF,CARD,FR,BE,True,,17,normal
7,2025-07-27T05:01:11Z,company,31,customer,159,2009.66,CHF,SEPA,BE,FR,True,,18,normal
8,2025-08-22T12:39:11Z,customer,87,company,60,3942.32,EUR,CRYPTO,FR,CH,True,FONDS_SEIN_PAYS_TIER,29,normal
9,2025-07-29T23:57:11Z,company,20,company,43,1500.42,GBP,SEPA,GB,SG,True,FONDS_SEIN_PAYS_TIER,32,normal
10,2025-08-28T19:20:11Z,customer,116,company,68,2681.52,GBP,CASH,FR,CH,True,FONDS_SEIN_PAYS_TIER,21,normal
11,2025-08-07T06:50:11Z,customer,188,company,61,743.39,EUR,SWIFT,FR,GB,True,,40,normal
12,2025-08-06T13:40:11Z,customer,31,customer,57,1579.75,USD,CASH,FR,FR,False,,28,normal
13,2025-08-16T13:55:11Z,customer,134,customer,32,2516.74,EUR,PSU-PSD2,FR,FR,False,,31,normal
14,2025-08-29T17:24:11Z,company,49,customer,43,2268.06,USD,SWIFT,US,FR,True,,18,normal
15,2025-08-11T12:33:11Z,company,70,company,76,3251.48,CHF,PSU-PSD2,NG,ES,True,HIGH_RISK_JURISDICTION;HIGH_RISK_ENTITY,59,normal
16,2025-07-31T14:42:11Z,company,36,company,66,6732.2,CHF,CARD,IT,IR,True,FONDS_SEIN_PAYS_TIER;HIGH_RISK_JURISDICTION,47,normal
17,2025-09-01T15:47:11Z,customer,22,customer,11,1377.09,GBP,SEPA,FR,FR,False,,15,normal
18,2025-07-25T05:48:11Z,customer,10,customer,168,5239.58,EUR,SEPA,FR,FR,False,,6,normal
